order,family,genus,species,brain_mass,body_mass,common_name
Rodentia,Caviidae,Dolichotis,patagonum,30.5,8000,Patagonian Mara
Rodentia,Hystricidae,Atherurus,macrourus,31.57,2000,Asiatic Brush-tailed Porcupine
Rodentia,Hystricidae,Hystrix,cristata,32.4,15000,Crested Porcupine
Rodentia,Hystricidae,Hystrix,africaeaustralis,35.71,14936,Cape Porcupine
Rodentia,Hystricidae,Hystrix,brachyura,37.64,8000,Malayan Porcupine
Rodentia,Hystricidae,Hystrix,indica,44.07,14650,Indian Crested Porcupine
Rodentia,Castoridae,Castor,canadensis,52.21,27670,American Beaver
Rodentia,Caviidae,Hydrochoeris,hydrochaeris,75,28500,Capybara
Scandentia,Tupaiidae,Tupaia,javanica,2.3,80,Horsfield s Treeshrew
Scandentia,Tupaiidae,Tupaia,minor,2.58,70,Pygmy Tree Shrew
Scandentia,Tupaiidae,Tupaia,glis,3.2,170,Common Tree Shrew
Scandentia,Tupaiidae,Urogale,everetti,4.28,275,Mindanao Tree Shrew
Sirenia,Dugongidae,Dugong,dugon,264.67,281000,Dugong
Sirenia,Trichechidae,Trichechus,manatus,364,756000,Caribbean manatee
Soricomorpha,Soricidae,Suncus,etruscus,0.07,2.24,Etruscan Shrew
Soricomorpha,Soricidae,Sorex,hoyi,0.09,3.05,American Pygmy Shrew
Soricomorpha,Soricidae,Sorex,ornatus,0.12,5,Ornate Shrew
Soricomorpha,Soricidae,Cryptotis,parva,0.12,5.3,Least Shrew
Soricomorpha,Soricidae,Sorex,minutus,0.13,4.6,Eurasian Pygmy Shrew
Soricomorpha,Soricidae,Crocidura,fuscomurina,0.13,5.6,Bicolored Musk Shrew
Soricomorpha,Soricidae,Notiosorex,crawfordi,0.15,6,Crawford's Gray Shrew
Soricomorpha,Soricidae,Sorex,cinereus,0.17,3.9,Cinereus Shrew
Soricomorpha,Soricidae,Sorex,vagrans,0.17,5.3,Vagrant Shrew
Soricomorpha,Soricidae,Crocidura,russula,0.19,10.45,Greater White-toothed Shrew
Soricomorpha,Soricidae,Sorex,trowbridgii,0.21,5.3,Trowbridge's Shrew
Soricomorpha,Soricidae,Sorex,fumeus,0.21,8.9,Smoky Shrew
Soricomorpha,Soricidae,Sorex,monticolus,0.23,6.3,Dusky Shrew
Soricomorpha,Soricidae,Sorex,araneus,0.23,8.9,Common Shrew
Soricomorpha,Soricidae,Sorex,arcticus,0.27,8.2,Arctic Shrew
Soricomorpha,Soricidae,Blarina,brevicauda,0.29,17.7,Northern Short-tailed Shrew
Soricomorpha,Soricidae,Sorex,palustris,0.31,11.9,American Water Shrew
Soricomorpha,Soricidae,Neomys,fodiens,0.31,16.35,Eurasian Water Shrew
Soricomorpha,Soricidae,Suncus,murinus,0.39,35,Asian House Shrew
Soricomorpha,Soricidae,Surdisorex,polulus,0.4,18.6,Mt. Kenya Mole Shrew
Soricomorpha,Talpidae,Neurotrichus,gibbsii,0.91,10,American Shrew Mole
Soricomorpha,Talpidae,Condylura,cristata,1.37,50,Star-nosed Mole
Soricomorpha,Talpidae,Talpa,europaea,1.4,77.83,Common mole
Soricomorpha,Talpidae,Scalopus,aquaticus,1.48,39.6,Eastern Mole
Soricomorpha,Talpidae,Scapanus,townsendii,2.02,70,Townsend s Mole
Soricomorpha,Talpidae,Galemys,pyrenaicus,1.33,57.5,Pyrenean Desman
Soricomorpha,Talpidae,Desmana,moschata,4,440,Desman
Soricomorpha,Solenodontidae,Solenodon,paradoxus,4.67,900,Haitian solenodon
Tubulidentata,Orycteropodidae,Orycteropus,afer,79.5,44650,Aardvark
