order,family,genus,species,brain_mass,body_mass,common_name
Rodentia,Muridae,Rattus,tunneyi,1.41,76.2,Australian Pale Field Rat
Rodentia,Cricetidae,Holochilus,sciureus,1.41,112.3,Amazonian Marsh Rat
Rodentia,Muridae,Aethomys,hindei,1.42,146.3,Hinde s Aethomys
Rodentia,Muridae,Pogonomys,macrourus,1.43,73.9,Chestnut Pogonomys
Rodentia,Bathyergidae,Heliophobius,argenteocinereus,1.43,160,Silvery Mole-rat
Rodentia,Heteromyidae,Dipodomys,heermanni,1.44,65.65,Heermann s Kangaroo Rat
Rodentia,Heteromyidae,Dipodomys,ordii,1.45,57.1,Ord s Kangaroo Rat
Rodentia,Geomyidae,Thomomys,bottae,1.47,162.95,Botta s Pocket Gopher.
Rodentia,Muridae,Rattus,verecundus,1.48,59.4,New Guinea slender Rat
Rodentia,Muridae,Abeomelomys,sevia,1.49,61.4,Papuan Abeomelomys
Rodentia,Dipodidae,Jaculus,jaculus,1.53,64.2,Lesser Egyptian Jerboa
Rodentia,Cricetidae,Peromyscus,grandis,1.53,77.32,Big Deer Mouse
Rodentia,Muridae,Grammomys,poensis,1.55,50.2,Western Rainforest Grammomys
Rodentia,Muridae,Gerbilliscus,afra,1.56,65,Cape Gerbil
Rodentia,Muridae,Gerbilliscus,brantsii,1.56,91.7,Highveld Gerbil
Rodentia,Octodontidae,Spalacopus,cyanus,1.58,93,Coruro
Rodentia,Sciuridae,Tamias,minimus,1.6,45.3,Least Chipmunk
Rodentia,Sciuridae,Spermophilus,canus,1.6,154,Merriam's Ground Squirrel
Rodentia,Muridae,Maxomys,whiteheadi,1.62,46.3,Whitehead s Sundaic Maxomys
Rodentia,Muridae,Rattus,lutreolus,1.64,92.7,Australian Swamp Rat
Rodentia,Cricetidae,Arvicola,amphibius,1.64,168.3,Eurasian Water Vole
Rodentia,Muridae,Cremnomys,cutchicus,1.67,50,Cutch Cremnomys
Rodentia,Sciuridae,Spermophilus,mollis,1.67,117.1,Piute Ground Squirrel
Rodentia,Sciuridae,Spermophilus,tereticaudus,1.68,133.3,Round-tailed Ground Squirrel
Rodentia,Muridae,Rattus,fuscipes,1.69,122,Australian Bush Rat
Rodentia,Sciuridae,Tamias,quadrivittatus,1.7,62.3,Colorado Chipmunk
Rodentia,Muridae,Rattus,nitidus,1.7,101,Himalayan Field Rat
Rodentia,Muridae,Rattus,sordidus,1.7,120.67,Canefield Rat
Rodentia,Sciuridae,Glaucomys,volans,1.71,73.1,Southern Flying Squirrel
Rodentia,Cricetidae,Isthmomys,pirrensis,1.71,138,Mount Pirri Deermouse
Rodentia,Heteromyidae,Dipodomys,deserti,1.74,122.45,Desert Kangaroo Rat
Rodentia,Sciuridae,Spermophilus,washingtoni,1.8,186.5,Washington Ground Squirrel
Rodentia,Sciuridae,Tamias,panamintinus,1.83,51.2,Panamint Chipmunk
Rodentia,Geomyidae,Geomys,bursarius,1.83,197.25,Plains Pocket Gopher
Rodentia,Muridae,Tatera,indica,1.84,139.7,Antelope Rat
